"execution_idx","application","case","version","exception_name","frame_level","search_budget","fitness_function_value","number_of_fitness_evaluations","fitness_function_evolution","p_object_pool","seed_clone","seed_mutations"
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0.3,0,3
16,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0.3,0,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1200,"[5.0,100][4.0,300][3.0,500]",0.3,0,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0.3,0,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0.3,0,3
17,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0.3,0,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0.3,0,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
10,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0.3,0,3
18,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0.3,0,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,2,62328,0.0,100,"[0.0,100]",0.3,0,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,4,62328,0.0,100,"[0.0,100]",0.3,0,3
19,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,3,62328,0.0,100,"[0.0,100]",0.3,0,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,900,"[5.0,100][4.0,200][3.0,800]",0.3,0,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,7,62328,,,,0.3,0,3
11,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,8,62328,,,,0.3,0,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,5,62328,3.0,1200,"[5.0,100][4.0,300][3.0,900]",0.3,0,3
12,xwiki,XWIKI-14152,8.4.4,java.lang.StringIndexOutOfBoundsException,6,62328,,,,0.3,0,3
